Altium Designer Pick and Place Locations
C:\Users\matip\Downloads\FRB_Simconex\FRB_Simconex\Project Outputs for FRB_Simconex\Pick Place for FRB_Simconex.csv

========================================================================================================================
File Design Information:

Date:       13/08/24
Time:       00:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D13","1N4148","TopLayer","1206K","16.4930","133.7562","270","","16.4930","133.7562","16.4930","135.4580"
"D12","1N4148","TopLayer","1206K","16.4930","113.7562","270","","16.4930","113.7562","16.4930","115.4580"
"D9","LED","TopLayer","LED0805","46.2688","66.5250","270","","46.2688","66.5250","46.2688","67.6680"
"D8","LED","TopLayer","LED0805","53.8888","66.5250","270","","53.8888","66.5250","53.8888","67.6680"
"D7","LED","TopLayer","LED0805","74.7000","19.9850","360","","74.7000","19.9850","73.5570","19.9850"
"D6","LED","TopLayer","LED0805","94.7000","19.9850","360","","94.7000","19.9850","93.5570","19.9850"
"D5","LED","TopLayer","LED0805","64.7000","19.9850","360","","64.7000","19.9850","63.5570","19.9850"
"D4","LED","TopLayer","LED0805","84.7000","19.9850","360","","84.7000","19.9850","83.5570","19.9850"
"D3","LED","TopLayer","LED0805","104.7000","19.9850","360","","104.7000","19.9850","103.5570","19.9850"
"D2","1N4148","TopLayer","1206K","32.8750","51.9836","90","","32.8750","51.9836","32.8750","50.2818"
"C8","100nF","TopLayer","0805","60.1000","50.7280","90","","60.1000","50.7280","60.1000","49.5850"
"C6","100nF","TopLayer","0805","104.1380","114.9750","180","","104.1380","114.9750","105.2810","114.9750"
"C5","100nF","TopLayer","0805","104.1380","117.4250","360","","104.1380","117.4250","102.9950","117.4250"
"C4","10uF","TopLayer","CAP.ELEC","8.1538","33.9999","270","","8.1538","33.9999","8.1538","38.4997"
"C2","100nF","TopLayer","0805","96.8350","67.5500","270","","96.8350","67.5500","96.8350","68.6930"
"C1","100nF","TopLayer","0805","50.0788","66.5250","270","","50.0788","66.5250","50.0788","67.6680"
"*1","RELE SIMPLE","TopLayer","RELE_SERIE_964","23.0590","55.2463","180","","23.0590","55.2463","29.4090","55.2463"
